id,userId,licenseNumber,assignedBusId
driver-demo-01,driver-demo-01,KA34-DL-99871,bus-05
driver-demo-02,driver-demo-02,KA34-DL-99872,bus-14
driver-01,bus-01,,bus-01
driver-02,bus-02,,bus-02
driver-03,bus-03,,bus-03
driver-04,bus-04,,bus-04
driver-05,bus-05,,bus-05
driver-06,bus-06,,bus-06
driver-07,bus-07,,bus-07
driver-08,bus-08,,bus-08
driver-09,bus-09,,bus-09
driver-10,bus-10,,bus-10
driver-11,bus-11,,bus-11
driver-14,bus-14,,bus-14
driver-16,bus-16,,bus-16
driver-17,bus-17,,bus-17
driver-19,bus-19,,bus-19
driver-20,bus-20,,bus-20
driver-21,bus-21,,bus-21
driver-22,bus-22,,bus-22
driver-23,bus-23,,bus-23
driver-24,bus-24,,bus-24
driver-25,bus-25,,bus-25
